date,open,high,low,close,volume,amount
2024-07-08,78.6835,80.7726,78.4817,79.7215,105374.66,2591239967.0
2024-07-09,79.7898,82.494,78.5891,82.1978,140762.55,3506898661.0
2024-07-10,82.1621,83.4767,81.8399,82.1653,109282.56,2767913672.0
2024-07-11,82.9788,83.3888,81.8985,82.3475,100359.45,2546645362.0
2024-07-12,82.4972,85.9075,81.9668,85.4584,188863.22,4891988725.0
2024-07-15,85.3543,86.1678,84.8044,85.1623,98715.52,2590423502.0
2024-07-16,84.8044,85.3218,83.4181,84.2772,117587.68,3043326156.0
2024-07-17,84.2805,85.1005,83.506,84.4464,105191.71,2726321475.0
2024-07-18,83.9225,85.5495,83.7956,85.0712,95322.04,2487441704.0
2024-07-19,84.7686,86.5583,84.5213,85.927,136213.79,3593320512.0
2024-07-22,85.94,87.8925,85.94,86.4314,100749.55,2688874276.0
2024-07-23,86.2296,86.3663,82.328,82.4029,167410.49,4318283785.0
2024-07-24,82.4029,83.0276,80.8604,81.3485,118640.05,2976544505.0
2024-07-25,81.342,82.8291,80.5383,81.4787,101104.2,2533958369.0
2024-07-26,82.3182,83.8346,81.726,82.9626,124841.65,3180235007.0
2024-07-29,83.317,83.34,81.2252,82.0554,78859.32,1960649994.0
2024-07-30,81.5579,81.6271,79.5914,80.3457,110393.39,2686057414.0
2024-07-31,79.9175,81.6996,79.9043,81.3801,87490.03,2153504528.0
2024-08-01,81.693,81.9368,79.0577,80.4413,103634.88,2519341335.0
2024-08-02,79.7133,79.8022,77.2789,77.3382,145671.17,3453944603.0
2024-08-05,76.0404,77.9608,75.767,76.1524,105268.35,2457359662.0
2024-08-06,77.0813,77.2855,74.4395,75.4145,129101.51,2955783827.0
2024-08-07,75.4474,76.0931,74.6009,75.4178,82021.86,1882919963.0
2024-08-08,75.039,75.039,73.6225,74.5943,85357.41,1925911439.0
2024-08-09,75.1246,77.7006,75.118,76.2973,119852.18,2790790707.0
2024-08-12,76.4258,76.9133,75.599,75.8954,53779.01,1242071532.0
2024-08-13,75.8823,75.8921,74.446,75.3453,60436.5,1378452593.0
2024-08-14,75.3025,75.3025,74.1825,74.6437,56329.85,1276584732.0
2024-08-15,74.6338,76.5872,74.0771,76.2545,88545.38,2039684342.0
2024-08-16,76.4587,78.5043,75.9284,77.4469,102218.58,2406276094.0
2024-08-19,77.4931,78.7218,77.414,77.5491,70182.42,1662452527.0
2024-08-20,77.7401,78.1782,76.8935,77.8982,62484.22,1475807676.0
2024-08-21,77.2987,80.0888,76.4225,79.3872,111043.38,2658947674.0
2024-08-22,79.3872,79.9702,78.9326,79.229,62488.45,1506260848.0
2024-08-23,78.9919,79.486,78.4483,78.8403,49786.02,1193437030.0
2024-08-26,78.893,80.046,78.3034,78.8634,56513.42,1354660288.0
2024-08-27,78.2375,79.4794,77.9048,79.3213,50926.46,1219258016.0
2024-08-28,79.1467,79.15,76.686,78.0201,89040.7,2098577190.0
2024-08-29,76.8606,77.9048,76.1919,77.3613,79384.87,1858678051.0
2024-08-30,78.3923,82.9415,78.1552,82.1608,193027.92,4764660206.0
2024-09-02,81.6996,82.4902,79.3872,79.4201,101134.82,2468600915.0
2024-09-03,79.1895,81.5118,79.1895,81.39,101819.9,2497421913.0
2024-09-04,80.8695,82.9777,80.8497,82.4572,100605.96,2506778351.0
2024-09-05,82.3518,84.1965,82.2201,83.2906,100125.55,2542189363.0
2024-09-06,83.2939,84.0318,82.8196,82.8789,78141.52,1982245013.0
2024-09-09,82.1805,83.6563,81.8841,82.3452,70851.26,1774845244.0
2024-09-10,82.3518,83.2742,81.8972,82.2365,61248.29,1533462724.0
2024-09-11,82.3518,85.8435,82.1674,85.02,155361.48,4001603969.0
