date,open,high,low,close,volume,amount
2025-07-04,19.89,19.9,19.5,19.67,116484,229364331
2025-07-07,19.61,19.67,19.33,19.37,95763,185913384
2025-07-08,19.37,19.9,19.35,19.86,137818,271772394
2025-07-09,19.97,20.22,19.73,19.77,147412,294630772
2025-07-10,19.65,19.83,19.6,19.7,96992,191107625
2025-07-11,19.7,20.29,19.65,20.18,213771,428744770
2025-07-14,20.28,20.55,20.15,20.39,242528,493939547
2025-07-15,20.45,20.69,20.3,20.58,257934,528972445
2025-07-16,20.59,20.8,20.37,20.56,236230,486951344
2025-07-17,20.5,21.13,20.4,21.03,295008,615325435
2025-07-18,21.12,21.2,20.88,21.14,237594,500234771
2025-07-21,21.5,21.79,21.16,21.37,347392,744592565
2025-07-22,21.22,21.36,21,21.14,279232,590772548
2025-07-23,21.12,21.17,20.84,20.91,189800,398752458
2025-07-24,21.1,21.67,21.1,21.44,242985,519379910
2025-07-25,21.55,21.93,21.4,21.72,287553,623299000
2025-07-28,21.97,22.05,21.43,21.52,268569,580690693
2025-07-29,21.56,21.56,21.2,21.48,170772,364552447
2025-07-30,21.47,21.47,21,21.13,178491,378859598
2025-07-31,21.15,21.48,20.9,21,191640,406803710
2025-08-01,21.02,21.29,20.79,21.03,155420,326283381
2025-08-04,21.02,21.78,21.02,21.72,349227,754270926
2025-08-05,21.83,23.5,21.83,23.24,748064,1702669570
2025-08-06,23.55,24.38,22.91,24.21,830463,1977640863
2025-08-07,24.24,24.29,23.38,23.65,576666,1363849296
2025-08-08,23.54,23.85,23.25,23.32,379597,891618812
2025-08-11,23.5,23.88,23.35,23.61,372484,879295321
2025-08-12,23.61,23.65,23.01,23.14,363263,842477035
2025-08-13,23.06,23.29,22.97,23.17,302593,699505179
2025-08-14,23.2,24.24,22.56,23.82,739691,1737184828
2025-08-15,23.55,24.24,23.5,24.15,581792,1397295822
2025-08-18,24.25,24.54,23.77,24.4,668439,1621237160
2025-08-19,24.36,25.1,23.9,24.54,586114,1435697943
2025-08-20,24.54,24.54,23.9,24.34,369213,894177606
2025-08-21,24.35,24.43,23.77,23.88,307567,738909211
2025-08-22,23.88,24.18,23.8,24.15,297697,715571052
2025-08-25,24.03,24.98,24.03,24.77,489768,1207400276
2025-08-26,24.61,24.64,24.33,24.36,266436,651733010
2025-08-27,24.46,25.1,24.02,24.03,589111,1460026083
2025-08-28,23.95,24.24,23.29,24.24,435700,1040434741
2025-08-29,24.34,24.38,23.68,23.92,335777,804620034
2025-09-01,23.95,24.29,23.43,23.63,308455,730640871
2025-09-02,23.7,24.98,22.75,24.43,720745,1722070246
2025-09-03,24.46,24.68,23.5,23.76,396408,951004854
2025-09-04,23.7,24.25,22.1,22.51,420519,972758737
2025-09-05,22.52,23.58,22.5,23.55,341321,790968737
2025-09-08,23.56,25.18,23.56,24.88,580892,1434563182
2025-09-09,24.69,25,24.46,24.77,400065,990175282
2025-09-10,24.77,24.96,24.3,24.35,293653,720858840
2025-09-11,24.2,25.4,24.08,25.4,556739,1387454896
